"","month","count"
"1","2011-03-01",1
"2","2011-04-01",2
"3","2011-05-01",2
"4","2011-06-01",3
"5","2011-07-01",2
"6","2011-08-01",2
"7","2011-09-01",2
"8","2011-10-01",2
"9","2011-11-01",3
"10","2011-12-01",1
"11","2012-01-01",1
"12","2012-02-01",4
"13","2012-03-01",3
"14","2012-04-01",2
"15","2012-05-01",3
"16","2012-06-01",3
"17","2012-07-01",1
"18","2012-08-01",2
"19","2012-09-01",1
"20","2012-10-01",2
"21","2012-11-01",4
"22","2012-12-01",2
"23","2013-01-01",3
"24","2013-02-01",1
"25","2013-03-01",5
"26","2013-04-01",5
"27","2013-05-01",13
"28","2013-06-01",10
"29","2013-07-01",7
"30","2013-08-01",5
"31","2013-09-01",7
"32","2013-10-01",5
"33","2013-11-01",5
"34","2013-12-01",5
"35","2014-01-01",12
"36","2014-02-01",3
"37","2014-03-01",12
"38","2014-04-01",23
"39","2014-05-01",12
"40","2014-06-01",1
"41","2014-07-01",10
"42","2014-08-01",5
"43","2014-09-01",9
"44","2014-10-01",6
"45","2014-11-01",5
"46","2014-12-01",9
"47","2015-01-01",8
"48","2015-02-01",8
"49","2015-03-01",9
"50","2015-04-01",13
"51","2015-05-01",8
"52","2015-06-01",15
"53","2015-07-01",11
"54","2015-08-01",9
"55","2015-09-01",7
"56","2015-10-01",11
"57","2015-11-01",7
"58","2015-12-01",4
"59","2016-01-01",6
"60","2016-02-01",9
"61","2016-03-01",11
"62","2016-04-01",14
"63","2016-05-01",11
"64","2016-06-01",10
"65","2016-07-01",12
"66","2016-08-01",4
"67","2016-09-01",6
"68","2016-10-01",5
"69","2016-11-01",4
"70","2016-12-01",7
"71","2017-01-01",3
"72","2017-02-01",13
"73","2017-03-01",10
"74","2017-04-01",3
"75","2017-05-01",8
"76","2017-06-01",11
"77","2017-07-01",2
"78","2017-08-01",13
"79","2017-09-01",4
"80","2017-10-01",7
"81","2017-11-01",9
"82","2017-12-01",10
"83","2018-01-01",11
"84","2018-02-01",6
"85","2018-03-01",10
"86","2018-04-01",5
"87","2018-05-01",7
"88","2018-06-01",6
"89","2018-07-01",3
"90","2018-08-01",5
"91","2018-09-01",3
"92","2018-10-01",4
"93","2018-11-01",3
"94","2018-12-01",6
"95","2019-01-01",19
"96","2019-02-01",6
"97","2019-03-01",12
"98","2019-04-01",7
"99","2019-05-01",10
"100","2019-06-01",18
"101","2019-07-01",11
"102","2019-08-01",8
"103","2019-09-01",8
"104","2019-10-01",8
"105","2019-11-01",7
"106","2019-12-01",6
"107","2020-01-01",12
"108","2020-02-01",7
"109","2020-03-01",7
"110","2020-04-01",2
"111","2020-05-01",3
"112","2020-06-01",3
"113","2020-07-01",9
"114","2020-08-01",6
"115","2020-09-01",17
"116","2020-10-01",17
"117","2020-11-01",5
"118","2020-12-01",14
"119","2021-01-01",7
"120","2021-02-01",7
"121","2021-03-01",11
"122","2021-04-01",9
"123","2021-05-01",4
"124","2021-06-01",11
"125","2021-07-01",17
"126","2021-08-01",8
"127","2021-09-01",13
"128","2021-10-01",6
"129","2021-11-01",5
"130","2021-12-01",9
"131","2022-01-01",3
"132","2022-02-01",6
"133","2022-03-01",9
"134","2022-04-01",3
"135","2022-05-01",6
"136","2022-06-01",1
"137","2022-07-01",7
"138","2022-08-01",1
"139","2022-09-01",1
