date,cpi,gdp,unemp,EMVCOMPMAT,EMVWELFARE,EMVFISCALPOL,EMVELECTGOVRN,EMVNATSEC,EMVAGRPOLICY,EMNLABORREG,EMVIMMIGRATION,LaborForceWomen,LaborForceBlack,LaborForceLatino,EmpPopRatioMen,EmpPopRatioWomen,EconUncertainty,MigrUncertainty,unemp_arg,unemp_men,unemp_women,unemp_white,unemp_black,unemp_latino
2010-01-01,217.488,98.6738351,9.8,0.64599,1.87924,8.57403,0.41108,1.70306,0,0.41108,0,58.8,62.3,68.1,63.3,53.9,149.35928,,2128,11,8.4,8.8,16.5,12.9
2010-02-01,217.281,98.82626826,9.8,0.72116,0.99853,6.32401,0,0.72116,0,0.38832,0,58.9,62.1,68.1,63.4,53.8,132.79865,,2308,10.9,8.6,8.9,16.1,12.5
2010-03-01,217.353,98.98388331,9.9,0.59016,1.18031,4.88221,0.1073,1.18031,0,0.1073,0,58.8,62.6,68.1,63.6,53.7,137.47003,,2211,10.9,8.7,8.9,16.8,12
2010-04-01,217.403,99.14440795,9.9,0.51255,0.9112,6.77708,0.17085,1.13901,0,0.3417,0,58.9,62.7,67.6,64,53.7,137.0774,,2295,10.9,8.8,9,16.6,12.3
2010-05-01,217.29,99.3012964,9.6,0.71603,1.32189,8.26184,0.16524,2.36839,0,0.11016,0.05508,58.8,62.7,67.4,63.9,53.6,151.10342,,2202,10.4,8.8,8.7,15.5,12.2
2010-06-01,217.199,99.44614695,9.4,0.51134,1.36358,7.7838,0.17045,1.36358,0,0.22726,0.05682,58.5,61.9,67.2,63.8,53.6,140.56916,,2144,10.4,8.3,8.6,15.2,12
2010-07-01,217.605,99.57122613,9.4,0.17392,2.14498,8.69585,0.11594,1.50728,0.05797,0.75364,0,58.4,61.9,67.5,63.9,53.5,180.01446,,2174,10.3,8.5,8.5,15.6,12.3
2010-08-01,217.923,99.66897985,9.5,0.15947,1.4352,5.7408,0.05316,1.16942,0,0.26578,0,58.6,62.2,67.4,63.9,53.5,147.30909,,2165,10.3,8.6,8.6,15.9,12.3
2010-09-01,218.275,99.73279384,9.5,0.57158,1.19512,6.49522,0.20785,1.19512,0.10392,0.36373,0,58.5,61.8,67.6,63.8,53.5,182.14672,,2157,10.2,8.6,8.6,16,12.9
2010-10-01,219.035,99.75954476,9.4,0.69474,0.94286,5.85563,0.34737,1.98496,0.04962,0.09925,0,58.4,62,66.8,63.6,53.3,163.42489,,2331,10.1,8.7,8.6,15.6,12.9
2010-11-01,219.59,99.74942012,9.8,0.5687,1.19427,7.62057,0.22748,1.42175,0.05687,0.17061,0.05687,58.6,62.5,67.1,63.4,53.4,179.13559,,2184,10.5,9,8.9,16.2,12.3
2010-12-01,220.472,99.70820732,9.3,0.49392,1.42687,6.2014,0.05488,1.26223,0.05488,0.2744,0.05488,58.3,62.1,67,63.6,53.3,165.40785,,2178,10,8.5,8.5,15.5,11.8
2011-01-01,221.187,99.65202441,9.1,0.45811,2.00424,8.07422,0.45811,1.94698,0.11453,0.40085,0,58.3,61.6,67.1,63.7,53.3,142.17046,,2264,9.7,8.5,8.1,15.8,11.6
2011-02-01,221.898,99.59883312,9,0.49103,1.69131,5.23762,0.21823,1.3094,0.05456,0.10912,0,58.1,61.4,66,63.8,53.2,145.5089,,2264,9.5,8.5,8.1,15.5,11.9
2011-03-01,223.046,99.56091525,9,0.99852,1.64462,6.98965,0.11747,2.52567,0,0.23495,0,58.3,61.3,66.4,63.8,53.4,174.35437,,2259,9.5,8.4,8,15.8,11.6
2011-04-01,224.093,99.53702586,9.1,0.60956,1.32996,6.92687,0.22166,1.55162,0.05541,0.33249,0,58.3,61.4,66.4,63.7,53.3,157.49588,,2150,9.6,8.5,8.1,16.5,11.5
2011-05-01,224.806,99.52176571,9,0.35651,1.30719,5.70412,0.11884,1.18836,0.05942,0.23767,0,58.1,61,66,63.8,53.2,126.19207,,2240,9.5,8.5,7.9,16.3,11.2
2011-06-01,224.806,99.51373473,9.1,0.71105,1.48135,7.5845,0.35552,1.06657,0,0.29627,0,58,61.1,66.2,63.7,53,158.08862,,2262,9.6,8.5,8.1,16.2,11.2
2011-07-01,225.395,99.52288022,9,1.00569,5.49775,15.62165,0.13409,1.6091,0,0.26818,0,58,60.7,66.1,63.6,53.1,197.91636,,2233,9.5,8.4,8,15.9,11.2
2011-08-01,226.106,99.56286409,9,1.06391,7.21942,31.15749,0.45596,5.62355,0.22798,0.37997,0.15199,58.1,61.6,66.7,63.9,53.1,245.12671,,2357,9.4,8.5,7.9,16.4,11.3
2011-09-01,226.597,99.64206716,9,1.20538,2.22043,11.4828,0.38065,1.77634,0,0.38065,0.06344,58.3,62.2,66.7,63.9,53.2,204.62979,,2225,9.3,8.7,7.9,15.9,11.2
2011-10-01,226.75,99.75219006,8.8,1.38235,1.92326,11.9603,0.48082,2.40408,0,0.36061,0.0601,58.1,61.5,67,63.9,53.3,159.73957,,2197,9.2,8.4,7.9,14.6,11.1
2011-11-01,227.169,99.87712216,8.6,0.78733,2.42257,11.74945,0.18169,2.11975,0.06056,0.24226,0.06056,58,61.4,66.6,64.3,53.2,166.33902,,2240,8.9,8.3,7.7,15.6,10.7
2011-12-01,227.223,99.99939306,8.5,0.67556,2.29689,10.80891,0.33778,2.09423,0,0.47289,0,57.8,61.9,66.8,64.4,53.1,189.39836,,2347,8.7,8.3,7.5,15.4,10.9
2012-01-01,227.842,100.105419,8.3,0.72525,1.69226,10.03266,1.20875,2.29663,0.06044,0.30219,0.06044,57.7,61.1,66.3,64.3,52.9,178.28653,,2203,8.4,8.2,7.4,13.6,10.6
2012-02-01,228.329,100.184918,8.3,0.85416,1.21006,7.40273,0.21354,1.7795,0,0.42708,0,57.8,61.6,66.8,64.3,53.1,149.63708,,2191,8.4,8.1,7.4,14,10.3
2012-03-01,228.807,100.23133,8.2,0.55088,0.97934,5.99847,0.55088,1.3466,0,0.18363,0,57.8,61.8,66.3,64.3,53.2,137.55311,,2236,8.4,8,7.3,14,10.9
2012-04-01,229.187,100.2439691,8.2,0.353,1.23549,5.7068,0.47066,1.29432,0.11767,0.23533,0,57.6,61.3,66.4,64.3,53,136.59669,,2206,8.3,8,7.4,13.3,10.9
2012-05-01,228.713,100.225174,8.2,0.33424,1.40382,7.35335,1.47067,1.13643,0,0.26739,0,57.7,61.3,67,64.3,53.1,158.56198,,2299,8.4,7.9,7.4,13.5,10.2
2012-06-01,228.524,100.1797195,8.2,0.34223,2.05339,7.18687,1.43737,1.36893,0,0.34223,0.20534,57.7,62.1,66.9,64.4,53.2,194.61057,,2233,8.4,7.9,7.3,14.5,10.1
2012-07-01,228.59,100.1163328,8.2,0.6616,0.95565,7.2041,1.02916,1.83778,0.07351,0.22053,0.07351,57.6,61.6,66.5,64.3,53,184.8797,,2230,8.3,8,7.3,14.2,9.7
2012-08-01,229.918,100.0453366,8.1,0.61764,1.23529,7.41173,0.61764,1.11176,0.12353,0.30882,0,57.6,61.3,66.1,64.1,53.1,152.35347,,2117,8.3,7.8,7.2,13.8,10
2012-09-01,231.015,99.97747266,7.8,0.4272,1.2816,7.50652,1.09851,1.76983,0.06103,0.24411,0.12206,57.6,61.2,66.3,64.5,53.3,175.27705,,2164,8,7.6,7,13.6,9.9
2012-10-01,231.638,99.9231719,7.8,0.39165,1.06304,7.3294,1.23089,1.95824,0.2238,0.3357,0.05595,57.7,62.2,66.3,64.7,53.3,165.94452,,2157,7.9,7.6,6.9,14.1,9.6
2012-11-01,231.249,99.890199,7.7,0.48971,1.68677,9.08677,1.79559,2.23088,0.05441,0.16324,0.16324,57.6,61.3,65.7,64.6,53.2,187.49064,,2113,7.9,7.6,6.8,13.3,9.7
2012-12-01,231.221,99.88022692,7.9,0.76486,2.54953,10.2491,0.71387,2.03962,0.10198,0.20396,0.10198,57.7,61.3,65.8,64.6,53.2,192.82518,,2062,7.9,7.9,6.9,14,9.7
2013-01-01,231.679,99.88376494,8,0.31864,2.00285,9.51356,0.68279,1.77526,0,0.2276,0.09104,57.5,61.8,66.2,64.5,53,157.5333,,2052,8.2,7.8,7.1,13.7,9.3
2013-02-01,232.937,99.88858047,7.7,0.82548,4.0488,9.90581,0.35378,3.41986,0.03931,0.39309,0.31447,57.3,61.7,66.3,64.5,53,114.65412,,2067,7.8,7.6,6.8,13.8,9
2013-03-01,232.282,99.8869946,7.5,0.56938,2.01472,9.06626,0.26279,2.45271,0,0.43798,1.05116,57.2,61.2,65.4,64.5,52.9,124.94082,,1991,7.6,7.5,6.7,13,9
2013-04-01,231.797,99.88294449,7.6,0.3532,1.21097,5.60074,0.10091,1.51371,0,0.15137,0.15137,57.3,61.5,65.7,64.4,53.2,118.71049,,2041,7.8,7.3,6.7,13.3,9.1
2013-05-01,231.893,99.88482791,7.5,0.54669,1.98796,6.11299,0.1988,1.19278,0,0.1988,0.44729,57.3,61.7,66.5,64.4,53.2,104.30455,,2102,7.9,7.1,6.7,13.4,9.4
2013-06-01,232.445,99.89842915,7.5,0.5369,0.97619,5.80832,0.09762,1.70833,0.04881,0.19524,0.34167,57.4,61.6,66.3,64.5,53.2,114.61614,,2106,7.7,7.3,6.6,14.2,9.2
2013-07-01,232.9,99.91932417,7.3,0.41934,1.78219,5.66109,0.20967,1.57252,0,0.36692,0.41934,57.3,61.2,66.7,64.4,53.4,94.03991,,2209,7.7,6.8,6.5,12.6,8.8
2013-08-01,233.456,99.93749187,7.2,0.30934,0.97959,5.10418,0.25779,1.39205,0.05156,0.20623,0.25779,57.3,60.7,66.3,64.3,53.5,102.77067,,2230,7.7,6.7,6.4,12.8,9.1
2013-09-01,233.544,99.94127653,7.2,0.22863,1.48609,8.74507,0.17147,2.11482,0.05716,0.22863,0.05716,57.1,61.2,65.8,64.4,53.3,144.40178,,2190,7.7,6.7,6.3,13,8.7
2013-10-01,233.669,99.92143655,7.2,0.61319,3.40042,12.43103,0.16723,1.44936,0.05574,0.16723,0.16723,56.8,60.6,65.7,64,52.9,171.02225,,2182,7.5,6.8,6.3,12.8,8.3
2013-11-01,234.1,99.8746139,6.9,0.33039,0.92509,5.08802,0.26431,1.58588,0,0.46255,0.39647,56.9,60.4,66,64.5,53.1,89.90614,,2121,7.2,6.7,6.1,12.3,8.3
2013-12-01,234.719,99.80836469,6.7,0.56932,1.13864,5.63628,0.22773,1.48023,0,0.56932,0.45546,57,60.3,65.5,64.5,53.2,104.60212,,2232,6.8,6.6,5.9,11.9,8.2
2014-01-01,235.288,99.74796366,6.6,0.45716,1.20004,5.82878,0.28572,1.82864,0.05714,1.25719,0.5143,57,60.6,65.9,64.5,53.4,93.50074,,2171,6.8,6.3,5.7,12.1,7.9
2014-02-01,235.547,99.72321291,6.7,0.31975,0.53292,3.89033,0.05329,1.22572,0.05329,0.53292,0.10658,57.2,60.9,66,64.3,53.6,88.98535,,2135,6.9,6.4,5.8,11.8,7.2
2014-03-01,236.028,99.75488127,6.7,0.35734,1.31023,4.70492,0.35734,2.26313,0.17867,0.47645,0.05956,57.2,61.3,66.1,64.8,53.4,93.46759,,2084,6.7,6.6,5.8,12.1,7.7
2014-04-01,236.468,99.8385465,6.2,0.73461,1.16314,4.95865,0.48974,1.34679,0,0.55096,0.18365,57,61,65.6,64.6,53.5,91.11802,,2140,6.4,6.1,5.3,11.6,7.8
2014-05-01,236.918,99.95708514,6.3,0.46782,1.11107,4.44429,0.46782,1.75433,0.05848,0.76021,0.05848,57.1,60.8,65.8,64.6,53.5,90.39225,,2046,6.4,6.2,5.4,11.4,7.7
2014-06-01,237.231,100.0892002,6.1,0.54557,0.92747,3.60078,0.21823,0.87292,0,0.21823,0.10911,56.9,61.1,66.3,64.9,53.5,81.00762,,2162,6.3,5.8,5.3,11,7.4
2014-07-01,237.498,100.2153466,6.2,0.47645,1.54847,3.81163,0.05956,1.48892,0.05956,0.4169,0,56.9,61.7,66,65,53.4,76.64489,,2199,6.2,6.1,5.3,11.6,6.8
2014-08-01,237.46,100.3205493,6.1,0.77851,1.11216,4.61547,0.38926,2.16872,0.05561,0.50047,0.22243,56.9,61,66.1,65,53.4,71.26214,,2305,6.3,6,5.3,11.4,6.8
2014-09-01,237.477,100.3975837,5.9,0.39152,1.06269,4.19482,0.39152,1.17455,0,0.22372,0.22372,56.8,61.6,66.1,65.2,53.4,84.33692,,2387,5.9,6,5.1,11,6.6
2014-10-01,237.43,100.4515552,5.7,0.54833,1.70592,6.94552,0.30463,1.58407,0,0.60926,0.06093,57.1,61.3,66.5,65.3,53.7,100.20666,,2425,5.6,5.9,4.9,10.6,6.4
2014-11-01,236.983,100.4921226,5.8,0.83627,1.09358,5.33927,0.25731,1.09358,0.06433,0.4503,0.12866,57,61.3,66.4,65.1,53.7,88.56003,,2397,5.9,5.8,5,10.9,6.7
2014-12-01,236.252,100.5272844,5.6,0.66896,0.8514,4.68273,0.18244,1.09466,0,0.36489,0,56.7,61.4,66.1,65.3,53.6,85.1875,,2379,5.7,5.4,4.7,10.6,6.8
2015-01-01,234.747,100.5580756,5.7,0.40583,2.09679,7.77843,0.81166,2.09679,0.13528,0.8793,0,56.9,60.9,66.6,65.3,53.7,117.16063,,2428,5.8,5.5,4.9,10.3,6.8
2015-02-01,235.342,100.5810498,5.5,0.30466,0.79211,4.6308,0.54838,1.09677,0.30466,0.54838,0.06093,56.6,61,66.1,65.3,53.6,100.31974,,2413,5.6,5.3,4.7,10.1,6.8
